"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.005",4.04365453613084,3.22454163631812,2.7437631776404,2.50984814760836,2.35718311812933,2.2985397919875,2.23263870879238,2.16540733042054,2.11958572976714,2.0807049252391,2.05730796420001,2.04166281292483
"b=0.01",4.12849530773911,3.32628035366076,2.87035690967459,2.62457878295458,2.50945686995105,2.44557208371764,2.42481737323529,2.39300732326992,2.37892888215543,2.35110242548756,2.35202151732133,2.34917327627055
"b=0.015",4.13813398525478,3.39929039967137,3.00631613476437,2.80875278679587,2.70226985114021,2.68096719977696,2.67814970320972,2.72004699837237,2.73332829034393,2.76151112205352,2.82404635112027,2.88616260637112
"b=0.02",4.29698653137878,3.54630641533155,3.14391459341346,3.00147111110989,2.97561028648652,2.94924283884271,3.01921781931333,3.08546576729962,3.21493726448326,3.3550470233475,3.56697637601956,3.82494302469185
"b=0.025",4.45181967499818,3.72360894650872,3.36162369596917,3.23983969800382,3.21620365297931,3.31461924393634,3.4794666952452,3.64821195838529,3.97247241935737,4.33927886767953,4.79861070966643,5.73856468547585
"b=0.03",4.61239708988361,3.88181881916241,3.5068427598962,3.44971827461333,3.54602577493159,3.77016362151729,4.06572849663951,4.47316263037853,5.13908710190357,6.07289366006357,7.68825808020959,9.23620676039408
"b=0.035",4.69991911083464,3.9889008200954,3.73799649928027,3.75489883022032,4.01199323335414,4.4015513507466,4.96072025407414,5.79439176943278,7.0839548755711,8.88169800133692,10.7101994049502,13.0186497953847
"b=0.04",4.87358247488235,4.16031418030821,4.03624054410983,4.10148393535923,4.48701914937979,5.20034282458721,6.25749111015806,8.08928424553237,10.2302161363731,12.0421582164524,13.2109805183042,14.7013475165818
"b=0.045",4.95390311707483,4.36226681559429,4.36635539230243,4.5953707788482,5.18683145682623,6.39771618979355,7.88000091263794,9.88537121578489,12.2607431098344,13.5339862957359,15.3608892734977,15.9254744420674
"b=0.05",5.08562479439345,4.62601020030572,4.71571267538511,5.14074977618183,5.95890504783153,7.68496069756504,9.75230080920351,12.2379392237551,14.1698676005921,15.7983141194863,16.28325042624,16.6609441151256
"b=0.055",5.23995472347338,4.78768785585299,5.04792110708079,5.77974366326592,7.00866893300334,9.1889057489976,11.7558281852912,13.4897728076342,15.6533138554292,15.7545210762863,16.4051665771487,17.1767651050153
"b=0.06",5.35617496104494,5.04996446418798,5.44251311895814,6.50257078297282,8.11249413099453,10.8236865797593,14.1033198143088,14.296434692508,14.8575519301085,15.4363182426609,16.2010556966971,17.3421378339721
"b=0.065",5.48217749504681,5.32423890674537,5.77609484948439,7.3579020405589,9.24662517727486,12.0316073339479,14.9242619121297,15.9090511223376,15.6814501980924,15.289361149955,17.4072538923867,16.9425500247538
"b=0.07",5.60248638310581,5.64350519158787,6.25070229966834,8.02030649397512,10.6224962198017,13.7517508283477,15.6646522336531,16.1065396012207,15.7888032241,16.4307442412257,16.3110039424007,17.5922075977432
"b=0.075",5.81948486857172,5.98452977927679,7.00312110657557,8.90754631061376,11.8052863069115,14.1246295443041,16.0010640946895,17.1146734080695,17.9696692526399,18.589406793617,18.3307904778935,17.2524810080766
"b=0.08",5.93885970101147,6.36886204736694,7.53804250667525,10.0326342679196,12.9580490626564,15.3320427328886,16.1411076114685,18.1578050870294,17.5974838767725,16.957237502944,17.2739009274523,19.1661625730387
"b=0.085",6.16454696371129,6.73101023350638,8.39484952103974,11.270462369534,14.1732713219725,16.8223068752923,16.4706344031153,17.9657110824091,19.5385901303208,18.5188159793897,18.3771823947607,18.6929578680307
"b=0.09",6.32151734170523,7.21426039022124,9.07821401707279,11.8458334684321,15.5436943693928,17.4772915969087,17.3057778934486,18.8339865844628,19.305792614038,19.5317412957678,18.5282229286057,18.8166799083983
"b=0.095",6.54572372397152,7.48411065044992,10.0454378034042,12.8214472071995,16.5196313350415,16.5681984243411,17.1322544826984,17.6289284471587,18.5893970322011,18.0419192963558,18.6720790950555,20.2356231570815
"b=0.1",6.70224523965354,7.82132693036159,10.5798306375958,13.987456070644,16.4731264769702,16.8268206765567,16.9989418855711,19.4558741475241,18.931222072595,19.5025185725225,18.6638695122604,19.605214352206
"b=0.105",6.85380028326107,8.21349355464036,11.221900155164,13.7302989341905,15.9627509735294,17.4721910294262,17.6183035748073,19.0276725319227,18.8394247982207,19.5171701345521,19.9703083920133,21.4824558983907
"b=0.11",7.14547515477433,8.79902690808451,11.8579512971266,14.8827904421684,18.2677544191288,18.0582402418672,17.6916918519109,20.8378514880867,18.755626604149,18.9117822480996,21.4927130897475,22.8005221734905
"b=0.115",7.42193739205613,9.29856543172049,12.6442082933606,16.0251765479197,17.6410148244209,17.7987101465083,18.9051268994188,20.042944955423,20.7913403321395,20.7692625014687,22.2551465220215,24.4677145311246
"b=0.12",7.70649687105031,9.9303739547883,13.6416819292038,16.6906998790238,18.5654039956954,18.1036468518287,18.3827217247479,18.7419192400144,19.4036266537038,20.5100841209623,22.48003095075,24.1636736536266
"b=0.125",7.97690686690588,10.3550925510743,13.9924296801831,16.4891457915274,18.2911412673692,17.8075075302048,17.9559160677866,19.6193808763315,19.9808603766804,21.8590874386355,23.2121160613289,25.4539158487695
"b=0.13",8.30262487366593,10.929511541435,14.525988501967,16.8643315216347,18.4838553551272,17.9615062123624,19.257011408433,20.1062381490616,20.6256307147873,22.5786178655663,25.2198556430155,23.6160511319555
"b=0.135",8.66988347751178,11.1356355510941,15.1154173978751,18.3846029333447,19.146900576233,18.9457863291278,20.2581420428234,21.9993069412177,22.1002464702416,23.5384181877004,24.7705081142289,30.0300995367074
"b=0.14",9.17600597072981,11.3755560929335,15.3233044043474,18.5282712584734,19.1948553079373,20.7835784987246,20.201031984693,21.255560237622,23.6960339751869,25.0223698945322,26.3726192533901,28.773160854113
"b=0.145",9.23216148795804,11.6862094314265,16.4292865212096,18.3706071043237,20.0653182938415,19.2628301602207,22.0063591029476,21.3494477296985,23.3250240962753,25.0285044018506,27.9909617771131,28.8161258695246
"b=0.15",9.32655565698172,12.3898685284503,17.4445923001923,19.3092715994931,20.8690507775873,20.4235173606415,21.3408294636602,22.4430240975642,23.1293188967923,25.4509852625595,28.4618815766035,31.4155718128771
"b=0.155",9.42409320299665,12.5908497947518,17.3432299701142,20.8586970447841,21.3936248510637,21.5456197274023,21.5871933824016,22.3981740577729,24.3360038954076,25.8838732313475,30.8991889533931,31.9878464364947
"b=0.16",9.60392334407866,13.1874930988508,18.1320699953033,20.6805476524598,20.0699635916043,21.580628698389,21.6832010417078,22.6386028121801,24.8170322958066,29.5293520542924,30.8755109100794,34.0882347931016
"b=0.165",10.0356420427468,13.6300478690794,18.9900215748634,21.8867780655343,21.8794904929851,22.6339554674278,22.4290232401753,24.1221542528609,25.7884486908509,30.5657505691716,30.9480362754498,34.7056541683127
"b=0.17",10.2614298650306,14.4463056850073,20.285603402474,21.6560262486213,20.7112795002007,20.757145638872,23.3218729673595,25.1271988915184,27.6216127295411,31.369962665937,35.2090461278885,37.525525864581
"b=0.175",10.5259548148875,14.5358176573931,19.6933350181905,22.9211139759784,21.7611108176441,22.5676733525941,24.1700587054113,26.0270663216559,28.9497534948164,34.5866687453072,36.514308396222,38.845510240958
"b=0.18",10.9196008990035,15.2586335607187,20.1767245134161,22.5145829365897,21.9596496994398,22.1796349446886,24.4205665076919,25.852208371711,30.9941782003517,35.2336751857415,36.2998947113039,41.2012542385113
"b=0.185",11.2456251701875,15.2242150468554,19.8962036167042,20.7805087530781,22.4759251348036,22.975886964187,24.8070744362753,26.5648229425294,28.6096214349124,36.3393955716592,38.410086846443,43.3505339624867
"b=0.19",11.4908058481005,15.9325249047361,19.626621493039,20.9805909242809,21.772834087491,22.0691168120415,25.6413249294434,28.1603884535937,32.2995258588223,35.1141096822967,40.1575091137977,42.2839617125044
"b=0.195",11.8267550630228,16.219227045776,19.4415510739993,20.9187385908541,21.9320678314789,24.6266256177015,25.5847414812016,28.324590439229,32.6138476552851,37.174147384556,44.0057760319115,43.1825770696913
"b=0.2",12.206607112361,16.9521554776944,20.3736086629315,20.8773156866508,22.7624937669505,24.4135685444827,27.1587680812538,31.5456047685971,36.0946822351475,38.840216628898,43.9177632242562,45.9204224851458
"b=0.205",12.4192378015822,17.1984669562876,20.6734141423366,22.5375954923136,23.1187949287669,25.5258852488976,26.3414248881786,31.3093841386691,35.0544871349883,38.1973655970488,45.4946781337865,46.7016702510646
"b=0.21",12.9597992847123,17.941746294514,19.7488129849497,22.1081684704693,22.5315117662898,24.716808287242,26.8775100698082,30.7455539439698,34.1396589056721,36.9679957066568,45.8478605378241,48.4268911679746
"b=0.215",12.9837299341271,18.4173670951946,19.8643818004375,23.3555047464552,25.1528928006818,24.6434588270048,28.4828805273114,31.91710674152,38.300679341881,39.9969575250017,41.9053741373441,50.8639838960137
"b=0.22",13.1787308926406,18.8947691729006,20.5616601834163,22.7423426005603,24.4484451439346,25.9321727618382,26.5479841933296,30.3473001341262,38.4351671493612,41.3372667461123,45.3399066994543,53.8127847294313
"b=0.225",13.9960158639135,18.9241384565003,22.1238391562228,21.858535474622,25.4216226562728,26.1470139633088,29.3617489780496,32.9040418127179,41.572192134664,42.5496094176308,49.4238114742066,55.0739692499443
"b=0.23",14.4030689611211,20.0302867162457,20.8878013265425,23.6326721208957,27.6647775158073,25.2255192167379,29.3772607502949,34.8835548930807,40.3212206404249,46.0697559490741,49.7646683566953,54.4881048616669
"b=0.235",14.9678057119739,19.929312071319,20.8252941754592,21.7813031725948,25.143502235705,27.6141639647568,35.7083211552199,35.814225645535,42.6336899888983,46.2212102678907,52.5340730944162,59.6770696859996
"b=0.24",15.3013194366746,20.1918770942893,21.8576295034651,23.5253416850611,26.0792819126018,26.7706786031603,35.4314075308279,37.5358941402901,42.5766723145802,48.6934995369398,56.6464310420487,63.8693540926883
"b=0.245",15.4982032532997,20.8535322028582,22.8539530467598,24.0744055955689,25.6364423368086,28.6280654522141,34.0168173881751,36.3898976714822,43.6292117461853,48.5865814587952,57.1883679662848,65.9023256352044
"b=0.25",15.1130722891087,21.2997516396344,22.7828876485568,23.35431247216,26.5838160630094,28.8084916739715,37.0373063674865,39.13971599731,43.7937346899895,49.4306383711495,58.4432497473446,64.7005262525637
"b=0.255",14.8954267446904,20.9895408801456,25.8812426974218,23.8360687552313,28.2226809571263,30.2474592267954,37.0484910794521,40.8138442527233,46.9433127141624,53.9615550080138,60.4555345985783,68.5121537024021
"b=0.26",15.4326402839237,22.2966766319074,24.4996837416431,24.3132329689537,26.4117964343606,33.4365004786111,39.964752853859,42.2593928845691,51.5342317157285,53.9045007239841,60.5211981061989,73.050669978848
"b=0.265",15.9069946736444,21.762735605757,25.3173164312258,27.114830369112,26.678688499185,32.3246310068311,36.5839707960184,44.0347945863472,52.6961359096649,57.9930996807498,63.1143919003606,69.0844424234148
"b=0.27",15.5853800205072,23.0820119010171,24.7975072669197,25.157579946694,26.7588149084154,33.3348731906669,40.3792160758878,43.8422326203333,52.3387078684946,60.4053484288591,69.9922184503727,70.9244492492948
