"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.005",5.30728169465753,3.87785457015497,3.16796004346318,2.84955739537933,2.65196577090259,2.50283225218152,2.40417362552969,2.31020718572169,2.24382344448604,2.18842802856868,2.13939637474238,2.09932378754347
"b=0.01",5.40002043419158,3.93980615581038,3.2368017147497,2.95457647507936,2.7458515316229,2.62219033788561,2.53976860010539,2.43467026968705,2.36307400590098,2.30710301480723,2.2842653196627,2.26690267198654
"b=0.015",5.45656791263563,4.04851127361426,3.3295772734166,3.02117779651586,2.84023420984854,2.75299557816204,2.66678618127099,2.57767506506745,2.51698694469158,2.47362529744311,2.44178543792485,2.43092713075015
"b=0.02",5.4930411282716,4.13063241259531,3.3969290845929,3.1106293091883,2.92699314552745,2.85430471412218,2.77506987623604,2.74082011459816,2.66854153814155,2.62341105362686,2.58842310627894,2.60085759311395
"b=0.025",5.65501310034458,4.22074552513008,3.52628062484638,3.1631734113566,3.04540254935601,2.95872225436447,2.92241147851189,2.88242271175729,2.81329052440779,2.77932905580581,2.75924972208284,2.77109739679833
"b=0.03",5.68192590678206,4.299900008475,3.63656162082634,3.29808178024868,3.18303768461918,3.12711677406679,3.04479620220428,3.04925950402119,2.98585323764306,2.95683902672103,2.94274414717108,2.97484714868485
"b=0.035",5.73858930838723,4.37967355237038,3.75330056566993,3.4040428773857,3.31572733566886,3.25885187713949,3.1976333297017,3.17576196526965,3.16014623237151,3.14868613841048,3.14452044162786,3.19316586682168
"b=0.04",5.78695522336981,4.48181184664945,3.85578622571308,3.53872879453627,3.43418547895671,3.41804718383323,3.35951549883714,3.31821446347484,3.33486029101133,3.33446546299365,3.34715704326687,3.41174793567496
"b=0.045",5.82873029317882,4.59887055147948,3.92693520866038,3.66303975390824,3.55353194692194,3.53888276168483,3.52037367967397,3.49721045893726,3.51134874574716,3.55189896188004,3.55389002345126,3.63326304247173
"b=0.05",5.99304888819298,4.67402575029768,4.05556969357722,3.78831350020465,3.68930851327801,3.68120796314289,3.69092643406087,3.68670870251881,3.69466947437741,3.77580399565315,3.8115117871659,3.88120002646411
"b=0.055",6.09830257040032,4.75441676641992,4.15734847993877,3.89957690347975,3.83561486008489,3.80360112593224,3.83079381568936,3.85875814419353,3.89496171124365,4.01145654018245,4.07551475598365,4.16291872955507
