"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.005",6.98267156425167,4.83047220677127,3.96292382347066,3.43119242987074,3.18373492327538,2.98802226198351,2.84442444539378,2.71699312676158,2.59197809126619,2.56144669213433,2.50804942190992,2.44613417598148
"b=0.01",7.05403546041714,4.89866896956433,4.06853844860121,3.5479298572303,3.31536542953841,3.0797570625327,2.98265195825704,2.86335945125472,2.7833220277156,2.72392886520408,2.63610773927065,2.59967139151148
"b=0.015",7.11872199804138,4.99098729661051,4.18245510281787,3.69477734068097,3.4440647813173,3.26119709077099,3.09473071106668,3.03485748829381,2.92431463076524,2.85438041831062,2.82266956080708,2.79507627049926
"b=0.02",7.18977412659978,5.07965903729181,4.33621184232246,3.80273839778431,3.6095022630221,3.43709222824855,3.25915788699024,3.19903194670686,3.08485967224994,3.04487111664999,3.0485096520854,3.01069510370398
"b=0.025",7.425822214357,5.17521539480928,4.42841263408576,3.96698674208843,3.74216017621419,3.59203888729554,3.4542611373903,3.34536269605828,3.25172825563092,3.18650873636956,3.19158992985004,3.22235901286534
"b=0.03",7.52359169649427,5.29185394549602,4.59430925363476,4.1584485615592,3.87996229609422,3.77239917554984,3.63113381064419,3.53724248575453,3.42263847530435,3.39099633956042,3.43273411656381,3.46836567127884
"b=0.035",7.69135803617383,5.49960404585921,4.68233646988314,4.30014413435402,4.03837971316682,3.95828074135564,3.78670377977084,3.73567720599089,3.59981292404592,3.6243480596821,3.66143527190288,3.71434850751475
"b=0.04",7.92869716096799,5.66547562488339,4.7926787457894,4.42850235946481,4.23178479853479,4.08737748979057,3.9705207673429,3.93920091461536,3.83366009685809,3.87250549388018,3.91357841721673,4.01555637254837
"b=0.045",7.96553948065985,5.8800871391744,4.96123516142289,4.62403805854348,4.400886728155,4.27139969862334,4.13302431157692,4.17765434967926,4.0314053612284,4.0803759494718,4.15507622346115,4.33611395580048
"b=0.05",8.05835011247481,6.01359408678564,5.09433432589928,4.76692784669942,4.5874872345906,4.43100754921374,4.30853903258711,4.40523205721171,4.30061723543161,4.32959776333884,4.41126223715445,4.60639763333004
"b=0.055",8.24992296398313,6.10798749228115,5.14901368364197,4.97124732084597,4.7943037306753,4.62587973236561,4.56167663488437,4.64423867814037,4.60242348687844,4.57750416141957,4.69844906585033,4.87672511451902
"b=0.06",8.44897213397887,6.26261455819206,5.2867070884473,5.14888161664335,4.99197221985921,4.80989380077835,4.747408390064,4.88671957368614,4.88308841024537,4.83449017924885,5.02853381795272,5.25718210263231
"b=0.065",8.6324984089813,6.37374674449044,5.44528566277005,5.26055684712245,5.21791724954913,4.93071902895954,4.96998382912974,5.15961454876035,5.15315458085855,5.18392830869292,5.42006926337343,5.61839153761285
"b=0.07",8.82253788552539,6.56247477400732,5.59177851930132,5.44400518915709,5.3400340370505,5.15408025530521,5.22108929956183,5.42405126466641,5.45838599881231,5.59341252809338,5.70437367716073,5.99491210329136
