"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.175",6.12845078419523,5.82170036489157,5.87157359820116,6.20428977147678,6.56477818870745,7.09175411539609,7.79559472696562,8.55077849125871,9.26415285891891,9.90004212053518,10.550973396682,11.1984355959136
"b=0.18",6.19766076277839,5.90591147822458,6.01046994615483,6.27307163386989,6.78269662009746,7.34449933151634,8.03517696485497,8.86819718009435,9.50479958908836,10.194699706667,10.8818750443751,11.6112464945781
"b=0.185",6.26085103392883,5.99274263315422,6.12192378240404,6.40326180395668,6.9889538772673,7.47603544984111,8.28366388496612,9.10350970379618,9.81583682044068,10.5182436381859,11.1964150462193,11.9238220580159
"b=0.19",6.31992785055039,6.11749583186725,6.2302815285315,6.56276477687314,7.1550642958534,7.72919436083392,8.56257387770708,9.4268477681639,10.1186985342713,10.8711256945169,11.4536304718696,12.3055979213574
"b=0.195",6.41698621892054,6.21405569344527,6.37927262296414,6.72130449452638,7.37013359937925,7.94923117534802,8.7436774950017,9.67180492202769,10.4267049681087,11.1779786883979,11.7127864243922,12.6250653523276
"b=0.2",6.48187164152708,6.31413824601488,6.49457706389639,6.86967302710856,7.55277429604074,8.14114033182705,8.96431401789232,9.9799386630153,10.6842203194149,11.4288039134195,12.0387849912714,12.8808881971779
"b=0.205",6.55898618547902,6.43992130691284,6.61039835711089,7.04010828807937,7.76353478934233,8.34410101000526,9.22129290971102,10.1806054296772,10.9390503944919,11.7406734766567,12.2907888771411,13.1818550427179
"b=0.21",6.63310542653666,6.54031158008054,6.76432002662918,7.20778863465369,7.94858887231077,8.559537987114,9.58246709925452,10.417532234496,11.1948423663913,12.0848332605661,12.6582243802386,13.5600954825064
"b=0.215",6.710783009194,6.66515104246444,6.95394230664464,7.34487599373751,8.17857414772313,8.7604040103934,9.83272376990154,10.6776603920567,11.4856425868732,12.3310986691093,13.019106916188,13.9090065103621
"b=0.22",6.8017716045168,6.75947560132405,7.0954734060446,7.50403093021328,8.34240385422628,8.98547927229499,10.0181879630585,10.9253809613521,11.7423569862501,12.5868463245879,13.3116391400286,14.2767192204382
"b=0.225",6.89230201617623,6.89238884830345,7.20620098675806,7.73751973630866,8.54669341701006,9.22967257412239,10.3182734107169,11.1791196899885,12.0537490394484,12.8853565741982,13.5967516384181,14.5324517626436
"b=0.23",6.99793584047692,7.03752842825304,7.34103460796895,7.92795076279378,8.73889935250319,9.48613006371739,10.5228111827335,11.4597769893781,12.3306055409357,13.2110903839274,13.9795420442028,14.8470196434109
"b=0.235",7.15175248088656,7.15642165660143,7.43596814211538,8.10530551036665,8.93338230919231,9.76078084471166,10.7174709927848,11.6836241602376,12.6689052145708,13.5131691305213,14.362848402333,15.1188379675682
"b=0.24",7.22146554755847,7.25545365500676,7.61952000016826,8.25534817532913,9.1323687836358,9.95756061492217,10.9535095327986,11.8986314659567,12.8761539543457,13.7279870718957,14.5418773035003,15.4509948544312
"b=0.245",7.26828819466953,7.39975975965088,7.8167574523951,8.43027679221959,9.34298186074182,10.198861744109,11.1776781510247,12.1037852995368,13.090641747404,13.9393371175576,14.8793893069469,15.7199434872203
"b=0.25",7.3499982700073,7.53143722440012,7.96344849999654,8.61378497261745,9.56234764284896,10.3753901652516,11.4204360145261,12.4269048671512,13.3838541359245,14.1857495266283,15.1950580504962,16.1678901243729
"b=0.255",7.43179506006076,7.69317971024487,8.10203058419293,8.82443133276293,9.76445735358328,10.5675035378577,11.6388548325674,12.6834081482607,13.598134369799,14.503252622639,15.4826343329575,16.5108378857366
"b=0.26",7.50400233797248,7.84865396091388,8.28567243682434,9.01733998963537,9.97091740500972,10.7722734727365,11.828266521177,12.9712734160871,13.842285084935,14.9260510698226,15.7623338902459,16.7202003469289
"b=0.265",7.61782456885997,8.00108802216482,8.42973105142383,9.13452831091787,10.2449219532157,10.946958627734,12.0503773410382,13.216680192449,14.1665979021983,15.2376135808342,16.185909329482,16.9867387865847
"b=0.27",7.76665729349577,8.15064475185055,8.58981827986569,9.29569425423253,10.4959672173062,11.127353516989,12.342497006129,13.4849081485937,14.5406350903425,15.4507504101067,16.4069560017812,17.2612331093889
