"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.005",5.4432971219678,3.99062128885002,3.26913321938402,2.94740193361228,2.79489629407633,2.64590640076755,2.56401017227878,2.49016821184546,2.43177692226172,2.36479954950555,2.32841680611815,2.32299339006866
"b=0.01",5.46054670639956,4.11798381713024,3.40871536030124,3.13806472607412,2.93397957464288,2.88735247901017,2.83433390600122,2.77937499427568,2.72784605726723,2.7077422873328,2.68197000615565,2.69747387766768
"b=0.015",5.62125591775827,4.28482124973219,3.60807556058001,3.33658521577668,3.25158030682706,3.20084675962501,3.17222129796181,3.1600978335266,3.16789537705435,3.17588745510668,3.27069741622861,3.37412307523721
"b=0.02",5.72414841531683,4.41162566057445,3.85853081206522,3.64804012190043,3.53650045036663,3.58451176475787,3.61282860247566,3.70419122519041,3.79001520214833,3.99434039580963,4.25260441789809,4.69475903523237
"b=0.025",5.86030271817463,4.67816959783805,4.15655345308105,3.92149690857093,3.97194847110614,4.02280176261161,4.1941943328839,4.52161269620192,4.85931892991294,5.65673497699895,6.51985921731134,8.30420842010962
"b=0.03",6.05025764339682,4.89155168110839,4.39618824308636,4.33144942613482,4.44317421222761,4.62835482977428,5.18590491879617,5.83545526903576,6.90642940874926,9.01377203007896,12.1600816519269,15.2572706001742
"b=0.035",6.2424027053043,5.12143396438816,4.75482704846066,4.90554803029582,5.20363006929403,5.7393258193976,6.63868998770363,7.82219638486886,10.9229845313165,15.1573023243823,19.1159271855802,23.4848047409703
"b=0.04",6.53519298293537,5.46081926618228,5.05225470951131,5.40079613689198,5.95424722245561,7.17763817398417,9.16066398328954,12.3983745683047,17.0469733175791,22.2386485803526,24.6317136162216,27.6193780179344
"b=0.045",6.69524089025999,5.72212607406355,5.48962430812008,6.20641964257356,7.13640838906547,9.29463374902411,12.3268258066585,16.7667618503921,22.6926410985036,24.886202233973,29.1182845022916,30.6034937392705
"b=0.05",6.9944294962265,6.12911005933381,6.1743862058007,7.02558308230134,8.73390651338581,12.0510632039241,15.7105023324083,21.2686126698516,25.3045589710294,30.9401186252781,29.7380976033512,33.3491301902445
"b=0.055",7.30482545480574,6.53854971223542,6.73121815977654,7.9635838018519,10.6059773704855,14.46794640026,21.3075072202229,24.9038504828647,28.232617293085,29.6529916675593,33.168427495238,32.7169929349792
"b=0.06",7.47506312775805,6.98933557624049,7.52031084762153,9.79095047174527,13.1454909151193,18.6213536245613,27.0969158391827,25.8006262021281,28.842113098182,29.7633321011154,31.9057169919086,32.6392633089306
"b=0.065",7.79076766143467,7.4594967126988,8.13724123446815,11.1508332125712,15.0806550615512,20.6401680178507,27.0762439344798,30.2644430397215,30.8587312610019,29.585372391301,30.8679895872318,31.1704919249958
"b=0.07",8.17835071541516,7.97046027318627,8.81624065546415,13.2425534836769,17.9265494515814,24.4134013952929,28.1684812038771,30.9532958332972,30.4414194326531,30.3257067796657,31.7205921875203,38.7536115142312
"b=0.075",8.47205885548199,8.44510209751524,10.2681173505883,14.2526566971404,20.2140688270711,26.0346157708521,28.8809893045401,32.3478041627616,37.5553162883782,37.4038330772267,36.8842512890784,31.8482472885094
"b=0.08",8.68486719969972,8.92905399711658,11.6340512424696,17.9118736714631,21.3784719513106,29.8424286503299,30.5010776349716,37.1172936003542,36.5802872186743,34.5383533580168,34.9478621209828,40.364823781276
"b=0.085",9.02100842510504,9.76001951666625,12.990829456124,19.7781678542264,25.3085154977347,33.7942829577249,32.4223870166851,36.2221780262598,36.1550185679544,37.5706361597211,36.9238837571146,38.6970928084724
"b=0.09",9.32252099249035,10.6036061118158,14.5206356263079,20.0641787362428,29.5935526457809,33.5486507927241,33.8137732709203,36.2924816181291,39.6345798722475,37.3330567608972,35.2891838237299,38.0825067489176
"b=0.095",9.75313575388859,11.207300338303,15.7229828986685,22.4845617474184,32.8298042573528,32.0976301868793,33.2757550431735,34.6964020458698,35.5416765238641,35.9748587491324,35.3566980713736,40.0952387411307
"b=0.1",10.187281866388,12.0045187713825,17.299878714698,25.5697250909607,31.3736489447035,34.1380267693044,34.0138491566954,38.9858114908709,37.0980754221829,38.5379573882088,38.340906476508,43.5458100279652
"b=0.105",10.4266730572816,13.0878450741235,19.4901872003469,24.2288507175797,30.2566889857574,33.7340646161859,34.8282006770862,37.0598240713864,37.4423116989182,37.9582545288009,37.9876698882454,44.0702982656513
"b=0.11",10.668428542575,14.1479686177083,20.9599950581667,28.7810332340682,35.9920291976937,35.8775459490339,32.4134571447278,43.2369051746577,37.9046497600736,40.0916924217506,44.5481172517017,45.9686594780225
"b=0.115",11.1425538442042,14.6050555958718,22.2681593990882,31.3632106928349,34.193746228306,37.4362217675222,35.487755807248,37.7914397034022,40.6792579611594,43.0415806207364,45.0250802710779,49.393274891561
"b=0.12",11.6136862971251,15.7666048064688,24.3512013561734,30.4924770376142,36.4139058364583,34.3935001070113,35.2149078110014,36.070951849156,37.95161604826,40.4436032509708,43.650856768414,50.6336501961287
"b=0.125",12.2045527992379,17.3967247367776,25.2205614944494,29.1594266326394,33.3643228566331,35.8282686758453,34.8996355714848,41.4545935702285,40.0752169285028,42.3128576066838,46.673038355982,53.3231563122201
