"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.325",96.0117698178255,143.617923748015,133.522800253152,159.205825539236,149.902318473305,201.750861985269,242.442734515941,306.227099760426,315.761165414745,406.431708107405,387.967311790796,415.717198452934
"b=0.33",90.9691075928096,137.467856469646,131.123204484164,157.109279292609,150.725698625002,214.361252765221,210.12442895217,292.428636714327,392.470079913619,314.495033258181,344.144878361435,436.851512005519
"b=0.335",92.7103108666204,149.818715758019,149.796302910874,140.648289121601,186.3340957228,232.792100538983,233.762017368615,276.330907350009,306.178016288321,343.998515074319,375.43272633905,431.209443583568
"b=0.34",84.9853047932452,147.127607046273,182.072678533998,173.143510028227,176.01372235499,207.718449531211,242.616858212359,268.476381476461,360.663886350342,315.014196257248,367.128422319838,358.33496365379
"b=0.345",91.2025921752609,147.337876718343,154.199436979575,169.319793402955,180.250177870972,200.685572824345,294.937693695644,254.365269901125,349.065184772015,349.85789770451,368.158275384574,402.530603554192
"b=0.35",107.044079958984,157.221577875931,143.653809021792,154.773679857826,214.376952393238,213.56752710849,243.094167188003,301.900683164039,342.819723042561,361.325841012172,338.737412500162,427.487036058043
"b=0.355",104.478895717063,142.357497364185,169.638627261477,194.176822357112,204.644536211964,286.61347057634,298.496433291818,341.2629404957,367.263293159494,352.902735167883,401.988016774651,484.792838661675
"b=0.36",99.8316320457816,147.324144063529,141.682308885201,168.363276536003,216.907415078794,255.258400226728,292.361684652498,338.945548429094,338.551150906345,366.940807255752,397.067050047673,359.052239250853
"b=0.365",104.774310825449,147.278675053298,140.863768022849,173.703428883171,181.963301276499,232.897016294899,286.608456606402,366.23748722701,320.838415575411,381.797963598505,407.972735639071,412.564570255781
"b=0.37",124.332602751579,158.833806459138,141.267623858485,194.840312629795,216.864574174302,261.242736315117,303.632769114831,343.028846752155,347.690597490247,365.683085197708,418.899863906043,424.280928738265
"b=0.375",117.494452974537,148.516910937111,165.771747534338,188.0276580488,210.844275913428,285.528742239255,327.084487912802,240.6308833798,395.14342283335,350.414540270265,364.460126836716,417.103279926948
"b=0.38",119.687941214867,154.107730065618,170.394905414897,221.024097632175,185.208343153245,295.688904477502,349.384047557209,322.34767313431,294.739484164011,345.383424258206,426.090299788757,466.837441823116
"b=0.385",113.079747570983,149.434405579632,170.744901078312,194.390977269098,251.799132934222,271.173294455887,333.292210274597,357.049465118812,318.157221387216,348.290675976845,414.039780901896,506.655382459644
"b=0.39",114.896923307093,157.452563674608,153.256241086549,199.040786782936,273.539138603915,331.329812815901,331.814294065732,328.664318086545,498.089759887294,413.430766021896,470.529731382561,459.138475596254
"b=0.395",113.507245854426,140.075880341161,143.074892047438,176.805314409629,263.352007719424,254.783647186678,315.490456429332,380.936254984616,387.933411704952,417.03168592242,524.732508683786,515.327595254558
"b=0.4",120.7346090431,145.394945960706,161.881392718792,183.257195423102,227.889255525729,301.616825573556,335.656461310276,381.770424535621,418.957402397345,376.425900269273,487.942030430798,466.42474576256
"b=0.405",108.617675024076,156.251533483735,162.1254077966,222.656433526268,227.178606195789,300.78647046325,353.687794494696,343.327424171701,455.61131136105,462.732621456566,497.726104597038,477.879510613312
"b=0.41",130.4405482422,160.769682641753,143.894610289276,218.856401407105,224.841998648577,278.18851864667,355.23750674462,363.102289410598,406.080152968328,481.318116687283,496.728166611203,451.857317426029
"b=0.415",118.031977889955,165.006791013897,158.385043758008,212.410794681405,228.752492354938,318.27524704416,302.909882780798,478.017074522533,441.557674533247,485.346041586041,571.30303168225,593.265074367991
"b=0.42",113.31778795325,178.22617155186,164.20109414909,200.591695479113,220.036014632565,338.379421213207,364.218298379509,353.268307939926,483.137822037288,439.503879760464,542.147344904223,555.561994845082
"b=0.425",141.1242920002,169.51912074153,168.677969016512,209.356117349381,246.76061445681,317.212510512077,360.228548604738,390.148327264042,450.787663543942,515.066892308749,601.189713752987,627.040211697831
"b=0.43",136.935591740026,168.875389650335,172.67584525928,256.944596660878,250.159980483781,342.525435816791,344.125801925638,378.924592839234,427.376640587317,557.946917323903,549.897485930603,701.305637674283
"b=0.435",163.184329279299,169.892075941069,160.254332328656,230.396272348581,274.35693211295,354.125506426929,508.411341695439,471.64949019852,447.664586020199,587.207815701398,602.322414024367,657.120210765423
"b=0.44",132.21123663131,155.228938759553,167.557571416582,255.412546917333,246.259379985875,335.952527746931,377.468068663815,472.129040110478,563.86724615239,560.750143182678,576.337941195986,597.594922008205
"b=0.445",127.697380354209,163.146811224168,182.776058253837,273.82977689513,288.203147637543,329.722504691995,427.05986155601,501.392370352711,550.701991112485,634.228137452514,620.532304924912,669.476455720181
"b=0.45",118.208875297006,139.537581903122,179.231289725979,322.002582026256,271.436688548157,387.039185966784,504.740647987636,529.33953307625,581.734119684264,624.829127152401,624.413693019084,611.33197594656
"b=0.455",122.961804842464,138.093625004673,172.03585628137,309.021200615935,282.456722456551,426.978884530426,415.272971854774,480.608261567723,626.535065365822,617.93084181529,712.157273348249,694.983528423684
"b=0.46",117.921445324187,158.639951565494,158.085139848153,265.335996552226,288.810011697935,447.867266966261,492.570356453467,544.552356768831,646.09699311164,649.337808217151,730.951660055945,622.449365443288
"b=0.465",131.861033522718,160.948758263303,207.629715520786,296.11606932828,289.873842914034,380.968573649393,447.763103442472,558.172653599691,564.296231329933,648.106659299414,637.864379815533,722.029195144867
"b=0.47",133.592198167775,161.636738994407,220.050376746839,279.402292443656,275.33872290506,357.996243916579,401.639151234017,495.63232325232,570.293948693399,685.122683707094,592.903804846435,719.18594462651
