"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.005",2.73208260379414,2.40583236701907,2.14657113540012,2.00198190022178,1.90200834811751,1.84143588488068,1.80776197213973,1.76874234350245,1.74115047097828,1.70552527701367,1.6680151971863,1.6550808956669
"b=0.01",2.76748852359847,2.43524494541257,2.19277170270928,2.05349493428088,1.95205011892378,1.90045359119521,1.86993295986889,1.83610769000623,1.81910842497101,1.79883337836949,1.76895873949928,1.75941954597261
"b=0.015",2.79924605634762,2.48307217829609,2.23855143612901,2.12428798888591,2.00374019285285,1.96161560260997,1.93580683258243,1.91457357383805,1.90067665659515,1.89496929901237,1.87399247276695,1.86843854726402
"b=0.02",2.82757462189196,2.51807250878986,2.28135517090567,2.17147973738003,2.06396404952186,2.02994666758472,2.00618108314039,1.9964468185165,1.99045032655321,1.9907375868587,1.98887698039122,1.98631062521452
"b=0.025",2.8685215028543,2.55829562637258,2.31871909277747,2.21618264617181,2.13376285609175,2.0978320778126,2.08106760595534,2.08207337366295,2.08486660567368,2.10359859619566,2.10012228663922,2.12210336647582
"b=0.03",2.8961302374109,2.59987408849499,2.37491525849589,2.27681985501169,2.19466611314327,2.17285645437482,2.15729113624488,2.17722808598513,2.18552850930994,2.20446890928942,2.22186615242178,2.25432348586067
"b=0.035",2.92428582434787,2.64365688317039,2.42783331049637,2.33541147225512,2.26351945996355,2.25244225241846,2.24017132053056,2.27772090716174,2.28286474879352,2.32599272581204,2.34633569394291,2.39925275530424
"b=0.04",2.960078897185,2.70605238184702,2.47162401552109,2.38617707633889,2.32592805784858,2.32356959034452,2.33631350892014,2.37132813352983,2.39307285305549,2.45255386008038,2.48705668017364,2.54762764031098
"b=0.045",2.99289803364169,2.76654566618117,2.5254535684062,2.43849966090363,2.40088378579956,2.39191517262688,2.42681459413759,2.47641583611204,2.512483441284,2.58145621500305,2.62953978293755,2.71435010741245
"b=0.05",3.03110951038463,2.81054996305566,2.57203131944202,2.5160190705118,2.4719154277199,2.48087177806036,2.52710954879217,2.5865797496933,2.63827470441573,2.73036191262396,2.78411376046154,2.88310844876524
"b=0.055",3.06200945577245,2.83929439718324,2.63219173855513,2.57151359183114,2.54511958310988,2.5697493618167,2.6271166211645,2.70011945158145,2.78586512742411,2.87848587200825,2.9416450183853,3.05627708666697
"b=0.06",3.10323389130024,2.87763331390072,2.68666530913261,2.63778487467678,2.62503568815138,2.64281382778547,2.73638836343346,2.81851083515261,2.92247693050056,3.03861540114594,3.12063661212148,3.2488926303277
"b=0.065",3.13904504022903,2.92875013189352,2.74037994105529,2.70977587108819,2.71003150089514,2.73755646764039,2.85309903097019,2.95544633409795,3.07289231568631,3.21767154119921,3.30364769652899,3.44635837024396
"b=0.07",3.16341550738743,2.98177965048953,2.7887473233432,2.78712056925647,2.79872882484812,2.84215260552955,2.97350401294536,3.08174453071656,3.22182393110566,3.38829075815508,3.48496222501639,3.67669583368467
