"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.005",2.76697512373142,2.43321218368483,2.20572122874176,2.0571877581196,1.96491278402452,1.91861544543616,1.88679840013188,1.86200194525094,1.84594037158162,1.8230380888918,1.79434858909517,1.78627579158941
"b=0.01",2.82120579983558,2.5020096352648,2.28317168391774,2.17329044618566,2.06939301899471,2.05063805732575,2.0256056563561,2.01914367854659,2.03084274680268,2.03219547867164,2.03808280756242,2.04707550230495
"b=0.015",2.87079843696398,2.59059457992675,2.3754714475548,2.29610050500007,2.20908372388194,2.21045100784583,2.21279119400507,2.23962196707305,2.28645673473922,2.3353911780573,2.36905666496954,2.43727470547923
"b=0.02",2.94683627599154,2.67415152962267,2.48189646240113,2.39518183259338,2.35902865925725,2.39142203575699,2.45918024486902,2.52263250349088,2.61730367262151,2.7221266088135,2.88000134963393,3.06856099880605
"b=0.025",3.01085765838134,2.79532080041206,2.60100124693386,2.56071872872105,2.56309102317994,2.62342780984242,2.7609418342749,2.91019366647929,3.13192030670777,3.37357990556912,3.722088375738,4.20734738731848
"b=0.03",3.11587268160941,2.86704917978022,2.71350416438721,2.72632903953218,2.76448417117861,2.90232952573362,3.13879594489707,3.43329911950396,3.86825644648724,4.35812304825743,5.04956402951106,5.94084119431896
"b=0.035",3.11946679534479,2.97720518170941,2.85837982632952,2.91612314602636,3.03592332167357,3.2768445905597,3.67000244689528,4.17436393552032,4.88635822298541,5.7529053437601,6.56752738312669,7.43639706130593
"b=0.04",3.20989746197635,3.09560236413203,3.02100225285949,3.14792492943108,3.37332178547748,3.73235658130865,4.39474397140756,5.27910467404822,6.13947366594614,6.98627215081614,7.55162221215004,8.11382462397575
"b=0.045",3.29715425750023,3.20549877894053,3.17371148026696,3.38262320236397,3.76726134002933,4.36232543954372,5.09780470017851,6.22713008839951,7.21344364288564,7.77866711248702,8.36673511856326,8.68806938852516
"b=0.05",3.38968768703098,3.32350331386734,3.34023859280918,3.70110235018328,4.20753422839833,5.02409243680148,6.05472948412503,7.26613415319,8.06796473373433,8.66310278385441,8.59954828309097,8.81800741022849
"b=0.055",3.4418092748644,3.4434639479277,3.58145142386304,4.05641366051284,4.740848059495,5.903114909391,7.06940515632525,7.77502369489694,8.5945824884854,8.68637657848682,8.74276626303915,8.89629354320951
"b=0.06",3.51028085660231,3.62111665414019,3.82022853691097,4.4518357162833,5.30104517753311,6.52831196212015,8.03245037675525,8.1841439814674,8.26394066502793,8.57181723072669,8.55053793854118,8.59517026288995
"b=0.065",3.58124760240212,3.78178624338299,4.04232489789494,4.83336151525723,5.87945702144285,7.1161849256707,7.99291562798911,8.6554322008588,8.43710404641968,8.24471964682831,8.99159905376789,8.88638329992122
"b=0.07",3.64683919137573,3.97655520508189,4.30639269608218,5.2663809038435,6.40497813468325,7.8243453261632,8.34293155235324,8.40386814712195,8.31133802455918,8.89792622592786,8.79925224835895,8.85167268582147
"b=0.075",3.75588131813509,4.18267749682241,4.61977858786234,5.63826663499316,6.86373106527504,7.9927832165104,8.64526692261364,9.01847885524847,9.19126414180412,9.45602515064748,8.98242242949362,8.79190446045626
"b=0.08",3.87264121999575,4.28271821935592,5.03207136332332,6.17281963742396,7.54077924866091,8.57486746462149,8.66505455754262,9.28445259444047,9.06533776444433,8.59046118592272,8.92226169063126,9.60988786121382
"b=0.085",4.00544956693528,4.52968165221142,5.40877014922391,6.70532006091309,8.0313726734045,8.84465991145174,8.70507565606885,9.00404129046667,9.76194823421798,9.12560686046151,9.32563588245427,9.29457710295988
"b=0.09",4.15541107374193,4.75412645256369,5.6777409938394,7.03448755915845,8.35473837329937,9.1019212416969,8.74783836303337,9.45835170628171,9.58578549815526,9.62581369764643,9.15541968241608,9.4606576435256
"b=0.095",4.25465825991347,4.89319753562671,6.04657741836616,7.48296467118565,8.84032638651528,8.8450429828855,8.79818134498021,9.29871950885463,9.04992202786142,8.98311844203551,9.21225456409182,10.1756461205951
"b=0.1",4.35216401384222,5.07441230673949,6.40379284522034,7.82244777514279,8.52084899170042,8.76137857304624,8.48331938408465,9.71370685908646,9.21657622970123,9.13728945364906,9.59945077403517,9.82542791088703
"b=0.105",4.44176983289154,5.28759433054309,6.61864053870617,7.96360077280195,8.78197202179184,8.98189613611001,9.04331369329921,9.5299785969954,9.20895241396219,9.54114771537768,9.89207617533829,10.3585173492415
"b=0.11",4.54546828045187,5.49777313872415,6.8523681249524,8.32588976873117,9.11401456955083,9.03846030029128,8.96052820428976,9.96849580865991,9.03088294709586,9.51232042845693,10.1161935394763,11.167259844576
"b=0.115",4.64821225063483,5.71593362388632,7.09038896033028,8.5777103939676,9.48210301025908,9.33600314177569,9.37269605081411,9.97105136081642,9.7371870890723,10.0170103962082,10.7596270976774,11.5664380293797
