"","Bartlett","Bartlett_lug"
"sim1",0.433177090360169,0.430748135207665
"sim2",9.88250963165831,10.5042070394726
"sim3",0.000344142237108415,0.000332503339749741
"sim4",1.54975933690725,1.29278605553257
"sim5",1.47123498261621,1.48924300265172
"sim6",1.60047264177298,1.62058134761976
"sim7",1.41548942512292,1.2520594752973
"sim8",0.0156731722533319,0.0150588493631044
"sim9",0.378071510751506,0.336063223951773
"sim10",1.51405377284298,1.55250387916098
"sim11",0.00576636847151051,0.00600799442153801
"sim12",9.86499972571053,16.6047677626261
"sim13",0.0264885336986363,0.0257829874459807
"sim14",3.48909866797498,3.75361742902781
"sim15",0.00220307864722844,0.00243787949973583
"sim16",1.57631137448509,1.44544575976087
"sim17",0.113668996459791,0.136224370337175
"sim18",0.342483478310529,0.363523669404896
"sim19",0.121657209196231,0.122072078167438
"sim20",3.13438103051167,3.18475750173632
"sim21",8.12889141541359,9.84623191366091
"sim22",0.581438090488053,0.504651139626956
"sim23",0.226230172795068,0.29060955906852
"sim24",1.06174126118114,1.18911074364737
"sim25",0.0298009447952491,0.0323766472907227
"sim26",4.54226599974871e-06,4.92397920804147e-06
"sim27",1.92094845553285,1.73639674402834
"sim28",0.0455640083766758,0.0414415318916569
"sim29",0.441553662827005,0.448539991871193
"sim30",1.59914408764369,1.75086981703662
"sim31",0.0224562616911962,0.0216388308028218
"sim32",1.49150136620562,1.49667005973018
"sim33",0.518120324621262,0.619047592362188
"sim34",0.197180011413626,0.175333507607203
"sim35",3.31225833988594,3.4495711610943
"sim36",1.68456370534012,1.53259072922289
"sim37",3.73824878708629e-06,3.80295295101375e-06
"sim38",0.0417330790637736,0.0379637756208758
"sim39",0.0143254913443308,0.0164617999608236
"sim40",0.1371311305346,0.144436250288957
"sim41",0.000904940088424881,0.000934741944787611
"sim42",0.342874358978062,0.293249231473259
"sim43",0.24502240779694,0.336225165776806
"sim44",0.223862027394764,0.306210980452778
"sim45",4.14171477937461,4.27171992441405
"sim46",0.365713900346242,0.323236267553183
