"","Bartlett","Bartlett_lug"
"sim1",0.0709685026529315,0.0708071558327369
"sim2",0.0252296439355411,0.0249736193321678
"sim3",0.105006232516725,0.122665139440138
"sim4",0.115563352625003,0.200992536824597
"sim5",0.065537297660407,0.0610088118880372
"sim6",0.251903625824905,0.391210629773371
"sim7",0.42530983407395,0.603293797640345
"sim8",0.0128052148869356,0.0152671306264008
"sim9",3.71386763363403,3.39618714943338
"sim10",0.94784406020525,4.68519866066582
"sim11",9.76754809007009e-05,0.000137520869532281
"sim12",0.0185001467854487,0.0148091363436669
"sim13",0.00656027560774289,0.00689986331396709
"sim14",0.0304906649200249,0.0295815831204444
"sim15",2.15551568028071,4.08684327785002
"sim16",0.567944770611022,0.842250356629924
"sim17",0.0976466236133477,0.104097696665714
"sim18",4.03244603503018,3.7470017606379
"sim19",0.534503195913693,0.532008942310734
"sim20",0.14712057922539,0.247738944444259
"sim21",0.956334519020766,0.870754181896524
"sim22",0.000748171343682225,0.00160166230811008
"sim23",1.01499740078571,1.16287133169695
"sim24",0.503769285559485,0.811994007170753
"sim25",0.0106840586528905,0.00959654433843084
"sim26",0.0599459717790929,0.0624612450840374
"sim27",2.79747720547952,2.97815734679918
"sim28",0.00573012000202584,0.00925349543372748
"sim29",0.0212760685404176,0.0217293778368217
"sim30",0.575720736518966,1.15445938992376
"sim31",1.32761427365413,1.17843477599053
"sim32",0.00169159442120216,0.00850482355746861
"sim33",0.605388226984001,0.791966748481018
"sim34",1.01673025030831,1.06941232685275
"sim35",0.000141786570026435,0.000139109062897457
"sim36",0.016439881310233,0.0171822053446414
"sim37",0.289357733353132,0.276626388903091
"sim38",0.0387109694305813,0.0368729486903098
"sim39",0.0283498855051058,0.0300267832426233
"sim40",0.517415006315335,0.465459951516761
"sim41",0.00460389354466969,0.00453684511140591
"sim42",0.0016973133993933,0.00185667314957935
"sim43",0.534373170968516,0.797212294197096
"sim44",0.150393328821084,0.153591316968445
"sim45",0.591805678836857,0.623343535270343
"sim46",1.27866315654065,1.28777392085367
"sim47",1.17754669188972,1.11951582632701
"sim48",0.347754221224891,0.416074919508849
"sim49",0.29937470560823,0.308843160716165
"sim50",1.15743347359433,1.28495177808476
"sim51",0.224265037126507,0.230195482291754
"sim52",0.0106087487442123,0.0132218279154398
"sim53",0.250522541330471,0.239041312151426
"sim54",0.0100010047452518,0.0106604388586063
"sim55",2.10164859758156,2.16164496858499
"sim56",1.22695650558965,1.05893842649793
"sim57",1.02302072118318,1.04696014404319
"sim58",0.00507027154646562,0.0048980222520556
"sim59",0.0262300258496428,0.02583310154364
"sim60",0.130010861951533,0.117017601696
"sim61",0.0447377689656398,0.0473728812322236
"sim62",0.0569025741281657,0.0704514923073475
"sim63",0.283556130274591,0.255948276501876
"sim64",11.0944122476934,13.6689043188579
"sim65",0.957144026140881,1.15893936778903
"sim66",0.988346952936041,1.04539504010415
"sim67",4.61495645558082,4.76803251428177
"sim68",0.00258778256496076,0.00223605549643541
"sim69",0.231838341394382,0.198595566480933
"sim70",0.236371891917405,0.23170677761448
"sim71",0.594774811467343,0.552792963707064
"sim72",0.00488296090320934,0.00762026925998859
"sim73",0.0230972792093755,0.0515091804730759
"sim74",0.250330697769413,0.262703882032576
"sim75",0.141768708512975,0.116962761709788
"sim76",3.03967615476851,3.18754614860815
"sim77",0.274879756756305,0.383467178566782
"sim78",0.0638983697122159,0.0793567800351695
"sim79",0.0544945524083304,0.0459318271278366
"sim80",0.290655955699658,0.24838913196075
"sim81",0.375274692109851,0.498042379685337
"sim82",1.17375095211565,1.0717219992536
"sim83",1.13314912924749,1.07754903485603
"sim84",6.04179083486004,8.32729132109322
"sim85",0.74400832310319,0.900818651704994
"sim86",3.65847596393316,5.75998425638508
"sim87",0.348292198273013,0.328536393224925
"sim88",0.761045545669657,0.817606239472666
"sim89",0.0102031233226224,0.0234895249943886
"sim90",0.185531532001806,0.175418449059571
"sim91",0.738267582691661,0.724958673405693
"sim92",0.0481063890471262,0.0416897330259659
"sim93",1.75457817828099,2.00962569452286
"sim94",0.728686766291557,0.984198259614908
"sim95",0.0430597159500231,0.0711800641441824
"sim96",0.00575915287935248,0.00514025214970731
"sim97",0.365695733537039,0.388801717782645
"sim98",0.00108342538055599,0.00106863091575773
"sim99",0.17876844302879,0.170311390169801
"sim100",0.101293092395708,0.101794999152242
"sim101",0.438016476125643,0.540430236890417
"sim102",2.93476156130607,2.97399585838848
"sim103",5.72610943489184,5.75008954365312
"sim104",3.03342319303415,4.85868750577035
"sim105",1.30790631437274,1.10583659596594
"sim106",0.0222805809799631,0.0221848318697612
"sim107",0.0256887260891153,0.0357875016972261
"sim108",0.152000736949305,0.141794034189329
"sim109",1.95130893993218,1.90608071485755
"sim110",0.32469247123263,0.300983648548571
"sim111",0.980234951032046,0.954125375454176
"sim112",1.63979102760259,1.61131251223659
"sim113",0.0444501958992547,0.0382983919337831
"sim114",0.656571210020275,0.64582023192073
"sim115",5.37383472023537,5.09214376126036
"sim116",0.00660047648360789,0.0101431431942526
"sim117",2.95737707935048,3.47928747551183
"sim118",1.15519852769577,1.10920616029008
"sim119",0.124484444635378,0.126472454625472
"sim120",1.32310454055469,1.25595293044467
"sim121",0.036573375987362,0.0355919359856504
"sim122",1.55131212302856,1.55628280016028
"sim123",0.408112702474668,0.570281084568674
"sim124",1.32810777879674,1.45918793033698
"sim125",0.0477306648938605,0.050647385786194
"sim126",0.11504629764371,0.0924850657732692
"sim127",1.89070009378534,1.57910120753408
"sim128",2.7193625821155,2.80378344970353
"sim129",0.025449970915591,0.0245561812605547
"sim130",0.000115847923154905,0.000120571118472476
"sim131",0.0481579495146262,0.0854325930700378
"sim132",1.79600956603589,1.81540596039544
"sim133",0.0815752144478228,0.0782870440557438
"sim134",0.282521167754248,0.290051378765122
"sim135",1.05987250102262,1.03749565335674
"sim136",0.0499201289518702,0.0711222768112587
"sim137",0.541632449981317,0.797396896798549
"sim138",1.6367137230936,2.0397228381882
"sim139",0.28252062452233,0.346175296807281
"sim140",0.247034236808615,0.204415195687524
"sim141",0.0604359993227829,0.0861700020657775
"sim142",0.110976265247741,0.131341924649623
"sim143",0.413321887371694,0.432293257579174
"sim144",0.848730379404046,0.929991167858149
"sim145",1.12348135517055,1.29162677191392
"sim146",0.0363253990272493,0.0337113394215068
"sim147",3.7062434095187,5.69261447255622
"sim148",9.26081740747238,11.5208532492245
"sim149",0.794192614683576,0.715942868549209
"sim150",0.0572921790204916,0.0525407689641822
"sim151",3.5591705422482,3.7672326370687
"sim152",3.28544925762249,3.10147996996644
"sim153",0.216642254230079,0.202094285180002
"sim154",2.12124647596877,2.9087641421578
"sim155",0.393900723829412,0.353121219234748
"sim156",0.184644488775249,0.185028298384176
"sim157",0.990551306660448,0.889780373271742
"sim158",0.925477079498418,0.93775327902631
"sim159",0.012833747472792,0.0109928795423772
"sim160",0.189056351835336,0.234034719247857
"sim161",0.00228585749667851,0.00370927383667871
"sim162",0.0741982856306671,0.078284353614643
"sim163",0.202333262975957,0.495235154685806
"sim164",0.740349843417975,1.05966354363518
"sim165",0.00723915329416072,0.00728579592691645
"sim166",0.954103382603266,0.993853337726964
"sim167",7.51652204362928,17.3806257606584
"sim168",1.7692020650063,1.98166435009477
"sim169",0.0211659836394007,0.0237627783243647
"sim170",1.03560870349645,0.882596379978838
"sim171",0.0196764121749338,0.021168875646413
"sim172",0.432708314129519,0.45577095134944
"sim173",0.296335204979375,0.244157969958232
"sim174",0.00481648314040385,0.00418783581972642
"sim175",5.5162316239347,5.410631092655
"sim176",2.07960573233753,2.52349948094353
"sim177",1.07721738921477,1.89915242027838
"sim178",0.0673459693906527,0.0692150571870514
"sim179",4.09759694751203,6.73815322038157
"sim180",0.239865811528468,0.324951318444895
"sim181",0.321504367279637,0.341086334634104
"sim182",1.85532017031345,2.07285987166928
"sim183",0.0188833552045646,0.047280729370451
"sim184",1.22803462998156,1.20617186986054
"sim185",0.00491218986764064,0.0039458043671924
"sim186",0.307321925983539,0.462159456185098
"sim187",0.0893524064824873,0.0931972645048139
"sim188",2.32806153422891,1.97213662816548
"sim189",2.27149833946851,1.99327104037187
"sim190",0.735786731613958,1.14195860365342
"sim191",0.229409828819215,0.213847229843208
"sim192",0.341216031277652,0.407264547450977
"sim193",1.36366869416412,1.26663404393147
"sim194",0.438180988661567,0.522112440463718
"sim195",0.0481131508502523,0.04349269729536
"sim196",1.04220832080106,0.937145330894589
"sim197",3.67035097310682,4.30258056405123
"sim198",1.10347243026149,1.13632375386462
"sim199",2.96379604490759,3.70116102375469
"sim200",0.361921830975249,0.337227632441214
"sim201",0.149948017900923,0.201803638916168
"sim202",0.00132116655103478,0.00107699585095347
"sim203",13.3206159697162,17.3279516164872
"sim204",0.159774691099011,0.169859970942548
"sim205",0.257074717413478,0.233206286615384
"sim206",0.347167784330793,0.542686537007531
"sim207",1.92237285898765,2.06577638335692
"sim208",0.334311361416048,0.368312414346558
"sim209",1.45127621710252,1.37301883660071
"sim210",0.376602017340442,0.447791736922899
"sim211",1.44287599944755,1.29910291930222
"sim212",2.87929661387455,2.9190469511052
"sim213",0.187723503501041,0.232518122148658
"sim214",0.928277282135045,0.887068085479121
"sim215",0.0630845708380229,0.0846566222726702
"sim216",0.0720944716680384,0.0790667755300428
"sim217",0.002340300618142,0.00277959335308044
"sim218",0.450891861993797,0.454453118316123
"sim219",3.40270175606602,2.94693194145197
"sim220",0.183615022569427,0.220219750748304
"sim221",0.0898193693378853,0.089692027268514
"sim222",3.27898587510031,3.86504404068897
"sim223",1.39332462913405,5.54689561669914
